name,type,format,description,example,enum,minLength,maxLength,minimum,maximum,pattern,deprecated,fit_gap_status,local_term,local_kind,local_domain,local_range
codedVariantList,string,,"Four-character code supplied by Exis Technologies that assists to remove ambiguities when identifying a variant within a single UN number or NA number that may occur when two companies exchange DG information. Character | Valid Characters | Description :--------:|------------------|------------ 1| 0, 1, 2, 3|The packing group. Code 0 indicates there is no packing group 2|0 to 9 and A to Z|A sequence letter for the PSN, or 0 if there were no alternative PSNs 3 and 4|0 to 9 and A to Z|Two sequence",2200,,,,,,^[0-3][0-9A-Z]{3}$,False,missing,,,,
commodityType,string,,"High-level description of goods to be shipped which allow the carrier to confirm acceptance and commercial terms. To be replaced by ""description of goods"" upon submission of `Shipping Instructions`",Mobile phones,,,550,,,^\S+(\s+\S+)*$,False,missing,,,,
communicationChannelCode,string,,Specifying which communication channel is to be used for this booking e.g. Possible values are: - EI (EDI transmission) - EM (Email) - AO (API),AO,,,2,,,,False,missing,,,,
competentAuthorityApproval,string,,Name and reference number of the competent authority providing the approval.,{Name and reference...},,,70,,,^\S+(\s+\S+)*$,False,missing,,,,
confirmedEquipmentUnits,integer,int32,Number of confirmed equipment units,3,,,,1,,,False,missing,,,,
contactName,string,,Name of the contact,Henrik,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
contactPhone,string,,Phone number for the contact,+45 70262970,,,30,,,^\S+(\s+\S+)*$,False,missing,,,,
containerDepositAmount,number,float,A specified amount that the importer is made to pay as a guarantee for the return of the container after the goods in it have been stripped. A maximum of 2 digits should be provided,1012.12,,,,0,,,False,missing,,,,
containerInspectionBodyIdentifier,string,,Name of the person/company that performed the container inspection,Henrik,,,255,,,,False,missing,,,,
containerInspectionCertificateNumber,string,,Number of the container inspection certificate.,2200,,,100,,,,False,missing,,,,
contractQuotationReference,string,,Information provided by the shipper to identify whether pricing for the shipment has been agreed via a contract or a quotation reference. Mandatory if service contract (owner) is not provided.,HHL1401,,,35,,,^\S+(\s+\S+)*$,False,missing,,,,
country,string,,The country of the party’s address.,The Netherlands,,,75,,,^\S+(\s+\S+)*$,False,missing,,,,
countryCode,string,,The 2 characters for the country code using [ISO 3166-1 alpha-2](https://www.iso.org/obp/ui/#iso:pub:PUB500001:en),DK,,2,2,,,^[A-Z]{2}$,False,missing,,,,
currencyAmount,number,float,"The monetary value of all freight and other service charges for a transport document, with a maximum of 2-digit decimals.",1012.12,,,,0,,,False,missing,,,,
currencyCode,string,,"The currency for the charge, using a 3-character code ([ISO 4217](https://en.wikipedia.org/wiki/ISO_4217)).",DKK,,,3,,,^[A-Z]{3}$,False,missing,,,,
customsImportDeclarationProcedure,string,,Instruction on the administrative processes for submitting tax & duties declarations to the local customs agency,The tax must be declared...,,,500,,,^\S+(\s+\S+)*$,False,missing,,,,
cutOffDateTime,string,date-time,Actual cut-off time,2019-11-12T07:41:00-08:30,,,,,,,False,present,cutOffDateTime,datatype_property,CutOffTime,dateTime
cutOffDateTimeCode,string,,Code for the cut-off time. Possible values are: - `DCO` (Documentation cut-off) - `VCO` (VGM cut-off) - `FCO` (FCL delivery cut-off) - `LCO` (LCL delivery cut-off) - `ECP` (Empty container pick-up date and time) - `EFC` (Earliest full-container delivery date) **LCO Condition:** only when the `Receipt Type at Origin` is `CFS`,DCO,,,3,,,,False,missing,,,,
dateRange,string,iso8601,The time period for which schedule information is sent. The duration is populated in [ISO 8601](https://en.wikipedia.org/wiki/ISO_8601) Duration format.,P4W,,,,,,,False,missing,,,,
declaredValue,number,float,"The value of the cargo that the shipper declares to avoid the carrier's limitation of liability and ""Ad Valorem"" freight, i.e. freight which is calculated based on the value of the goods declared by the shipper.",1231.1,,,,0,,,False,missing,,,,
declaredValueCurrency,string,,"The currency used for the declared value, using the 3-character code defined by [ISO 4217](https://en.wikipedia.org/wiki/ISO_4217).",DKK,,,3,,,^[A-Z]{3}$,False,missing,,,,
delayReasonCode,string,,Reason code for the delay. See SMDG [Code list DELAY](https://smdg.org/documents/smdg-code-lists/delay-reason-and-port-call-activity/) for a list of valid codes to be used for this attribute.,WEA,,,3,,,^\S+(\s+\S+)*$,False,missing,,,,
deliveryInstructionReference,string,,A set of unique characters provided by carrier to identify a Delivery Instruction,ABC709951,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
deliveryOrderReference,string,,A set of unique characters provided by carrier to identify a Delivery Order,ABC709951,,,100,,,^\S+(\s+\S+)*$,False,missing,,,,
deliveryTypeAtDestination,string,,Indicates the type of service offered at Destination. Options are defined in the Receipt/Delivery entity. - CY (Container yard (incl. rail ramp)) - SD (Store Door) - CFS (Container Freight Station),CY,CY|SD|CFS,,3,,,,False,present,deliveryTypeAtDestination,datatype_property,Booking,string
demurrageAmount,number,float,"A per-day fee paid by consignee to carrier after expiry of freetime for storing a full container at the equipment handling facility (i.e., terminal or railhead). Fee relates to the cargo, inside the container. Reference to carrier website or individual charge as per service contract/agreement",150.0,,,,0,,,False,missing,,,,
demurrageFreetime,number,,The number of days that the consignee has to pick up the full container before demurrage fees are charged. Reference to carrier website or individual charge as per service contract/agreement.,7,,,,0,,,False,missing,,,,
descriptionOfGoods,string,,The cargo description are details which accurately and properly describe the cargo being shipped in the container(s) as provided by the shipper.,300 boxes of blue shoes size 47,,,5000,,,^\S+(\s+\S+)*$,False,missing,,,,
destinationChargesPaymentTermCode,string,,"An indicator of whether destination charges are prepaid (PRE) or collect (COL). When prepaid, the charges are the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charges are the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided). Examples of destination charges are customs clearance fees, documentation fees, terminal handling fees at the destination port and the costs of inland transportation ",PRE,PRE|COL,,,,,,False,missing,,,,
detentionAmount,number,float,A per-day fee paid by consignee to carrier for holding ('detaining') a container upon release from the carrier facility. Fee relates to the use of equipment whether full or empty. Reference to carrier website or individual charge as per service contract/agreement.,150.0,,,,0,,,False,missing,,,,
detentionFreetime,number,,The number of days that the consignee has to pick up or return the empty container before detention fees are charged. Reference to carrier website or individual charge as per service contract/agreement.,7,,,,0,,,False,missing,,,,
dgGrossWeight,number,float,"The grand total weight of the DG cargo and weight per UNNumber/NANumber including packaging items being carried, which can be expressed in imperial or metric terms, as provided by the shipper.",12000.0,,,,0,,,False,missing,,,,
dgRemarks,string,,To provide additional information,,,,500,,,,False,missing,,,,
dgVolume,number,float,The volume of the referenced dangerous goods.,2.4,,,,,,,False,missing,,,,
dimensionUnit,string,,The unit of measure which can be expressed in - MTR (Meter) - FOT (Foot),MTR,MTR|FOT,,,,,,False,missing,,,,
displayedName,string,,A line of the address to be displayed on the transport document.,,,,35,,,,False,missing,,,,
documentReferenceNumber,string,,A unique number allocated by the shipping line to the transport document and the main number used for the tracking of the status of the shipment.,H50030001L,,,20,,,^\S+(\s+\S+)*$,False,missing,,,,
documentStatus,string,,The status of the document in the process. Possible values are: - RECE (Received) - DRFT (Drafted) - PENA (Pending Approval) - PENU (Pending Update) - PENC (Pending Confirmation) - CONF (Confirmed) - REJE (Rejected) - APPR (Approved) - ISSU (Issued) - SURR (Surrendered) - SUBM (Submitted) - VOID (Void) - CANC (Cancelled) - CMPL (Completed),DRFT,RECE|DRFT|PENA|PENU|PENC|CONF|REJE|APPR|ISSU|SURR|SUBM|VOID|CANC|CMPL,,,,,,False,present,documentStatus,datatype_property,TransportDocument,string
email,string,,`E-mail` address to be used,info@dcsa.org,,,100,,,^.+@\S+$,False,missing,,,,
emptyIndicatorCode,string,,Code to denote whether the equipment is empty or laden.,EMPTY,EMPTY|LADEN,,,,,,False,missing,,,,
endOfHoldingTime,string,date,Date by when the refrigerated liquid needs to be delivered.,2021-09-03,,,,,,,False,missing,,,,
equipmentReference,string,,"The unique identifier for the equipment, which should follow the BIC ISO Container Identification Number where possible. According to [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346), a container identification code consists of a 4-letter prefix and a 7-digit number (composed of a 3-letter owner code, a category identifier, a serial number, and a check-digit). If a container does not comply with [ISO 6346](https://en.wikipedia.org/wiki/ISO_6346), it is suggested to follow [Recommendation #2: C",APZU4812090,,,11,,,^\S+(\s+\S+)*$,False,present,equipmentReference,datatype_property,UtilizedTransportEquipment,string
equipmentSetpointAirExchange,number,float,The value set on the container for the air exchange rate at which outdoor air replaces indoor air within a Reefer,15.4,,,,0,,,False,missing,,,,
equipmentSetpointAmbientTemperature,number,float,The value of the ambient temperature set for the Reefer.,-15,,,,,,,False,missing,,,,
equipmentSetpointCo2,number,float,The percentage value of the controlled atmosphere `CO<sub>2</sub>` set for the Reefer,75.3,,,,0,100,,False,missing,,,,
equipmentSetpointHumidity,number,float,The percentage value of the controlled atmosphere humidity set for the Reefer,95.6,,,,0,100,,False,missing,,,,
equipmentSetpointO2,number,float,The percentage value of the controlled atmosphere `O<sub>2</sub>` set for the Reefer,75.3,,,,0,100,,False,missing,,,,
equipmentSetpointTemperature,number,float,The value of the temperature set for the Reefer,-15,,,,,,,False,missing,,,,
etaAtPlaceOfDeliveryDateTime,string,date-time,The date of expected time of arrival of the shipment at place of delivery. **Condition**: Only when onward transport is done by the carrier to either an inland point or Door address.,2021-11-03T10:23:00-01:00,,,,,,,False,missing,,,,
etaAtPortOfDischargeDateTime,string,date-time,The date of expected time of arrival of the vessel at the Port of Discharge.,2021-11-03T10:23:00-01:00,,,,,,,False,missing,,,,
eventComment,string,,An additional Comment to a timestamp that can be shared with the receiver party.,Delay due to bad weather,,0,250,,,^\S+(\s+\S+)*$,False,missing,,,,
eventLocationDateTime,string,date-time,A date when the event is taking place at the location,2021-11-03T10:23:00-01:00,,,,,,,False,missing,,,,
expectedArrivalAtPlaceOfDeliveryEndDate,string,date,"The end date (provided as a range together with `expectedArrivalAtPlaceOfDeliveryStartDate`) for when the shipment is expected to arrive at final destination. If vessel/voyage or `expectedDepartureDate` is not provided, this is mandatory together with `expectedArrivalAtPlaceOfDeliveryStartDate`",2021-05-19,,,,,,,False,missing,,,,
expectedArrivalAtPlaceOfDeliveryStartDate,string,date,"The start date (provided as a range together with `expectedArrivalAtPlaceOfDeliveryEndDate`) for when the shipment is expected to arrive at final destination. If vessel/voyage or `expectedDepartureDate` is not provided, this is mandatory together with `expectedArrivalAtPlaceOfDeliveryEndDate`",2021-05-17,,,,,,,False,missing,,,,
expectedDepartureDate,string,date,"The date when the shipment is expected to be loaded on board a vessel as provided by the shipper or its agent. If vessel/voyage or expected date of arrival is not provided, this is mandatory",2021-05-17,,,,,,,False,missing,,,,
exportDeclarationReference,string,,A government document permitting designated goods to be shipped out of the country. Reference number assigned by an issuing authority to an Export License. The export license must be valid at time of departure. Required if Export declaration required is ‘True’.,ABC123123,,,35,,,^\S+(\s+\S+)*$,False,missing,,,,
exportLicenseExpiryDate,string,date,Expiry date of the export license applicable to the booking. Mandatory to provide in booking request for specific commodities.,2021-05-21,,,,,,,False,missing,,,,
exportLicenseIssueDate,string,date,Issue date of the export license applicable to the booking. Mandatory to provide in booking request for specific commodities,2021-05-14,,,,,,,False,missing,,,,
exportVoyageNumber,string,,The identifier of an export voyage. The vessel operator-specific identifier of the export Voyage.,2103S,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
facilityCode,string,,The code used for identifying the specific facility. This code does <b>not</b> include the UN Location Code.,ADT,,,6,,,^\S+(\s+\S+)*$,False,present,facilityCode,datatype_property,Terminal,string
facilityCodeListProvider,string,,The provider used for identifying the facility Code. Some facility codes are only defined in combination with an `UN Location Code` - BIC (Requires a UN Location Code) - SMDG (Requires a UN Location Code),SMDG,BIC|SMDG,,,,,,False,missing,,,,
facilityTypeCode,string,,The code to identify the specific type of facility. - BORD (Border) - CLOC (Customer location) - COFS (Container freight station) - OFFD (Off dock storage) - DEPO (Depot) - INTE (Inland terminal) - POTE (Port terminal) - PBPL (Pilot boarding place) - BRTH (Berth) - RAMP (Ramp) - WAYP (Waypoint),POTE,BORD|CLOC|COFS|OFFD|DEPO|INTE|POTE|PBPL|BRTH|RAMP|WAYP,,,,,,False,present,facilityTypeCode,datatype_property,TransportCall,string
facilityTypeCodeOPR,string,,A specialized version of the facilityCode to be used in Operations events. The code to identify the specific type of facility. - PBPL (Pilot boarding place) - BRTH (Berth) - ANCH (Anchorage Location),BRTH,PBPL|BRTH|ANCH,,,,,,False,present,facilityTypeCodeOPR,datatype_property,Event,string
facilityTypeCodeTRN,string,,The code to identify the specific type of facility. The code indicates which role the facility plays during the `transportCall` or during *stuffing*/*stipping*. - BORD (Border) - CLOC (Customer location) - COFS (Container freight station) - OFFD (Off dock storage) - DEPO (Depot) - INTE (Inland terminal) - POTE (Port terminal) - RAMP (Ramp) - WAYP (Waypoint),POTE,BORD|CLOC|COFS|OFFD|DEPO|INTE|POTE|RAMP|WAYP,,,,,,False,present,facilityTypeCodeTRN,datatype_property,TransportCall,string
finalDestinationExpectedArrivalDate,string,date,"The dates (provided as a range) for when the shipment is expected to arrive at final destination. If vessel/voyage or expected departure date or pick-up date at place of receipt is not provided, this field is mandatory",,,,,,,,False,missing,,,,
firmsCode,string,,A four digit alpha-numeric identifier assigned by U.S. Customs and Border Protection and required to clear customs at the Port of Discharge. **Condition**: Only applicable to imports into USA.,5TY7,,,,,,^[A-Z0-9]{4}$,False,missing,,,,
flashPoint,number,float,Lowest temperature at which a chemical can vaporize to form an ignitable mixture in air. Condition: only applicable to specific hazardous goods according to the IMO IMDG Code amendment version 41-22.,42.0,,,,,,,False,present,flashPoint,datatype_property,Commodity,decimal
floor,string,,The floor of the party’s street number.,N/A,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
freightPaymentTermCode,string,,"An indicator of whether freight and ancillary fees for the main transport are prepaid (PRE) or collect (COL). When prepaid the charges are the responsibility of the shipper or the Invoice payer on behalf of the shipper (if provided). When collect, the charges are the responsibility of the consignee or the Invoice payer on behalf of the consignee (if provided). - PRE (Prepaid) - COL (Collect)",PRE,PRE|COL,,,,,,False,missing,,,,
fumigationDateTime,string,date-time,Date & time when the container was fumigated,2021-09-03T09:03:00-02:00,,,,,,,False,missing,,,,
humiditySetpoint,number,float,The percentage of the controlled atmosphere humidity target value,95.6,,,,0,100,,False,missing,,,,
imoClass,string,,The hazard class code of the referenced dangerous goods according to the specified regulation. Examples of possible values are: - `1.1A` (Substances and articles which have a mass explosion hazard) - `1.6N` (Extremely insensitive articles which do not have a mass explosion hazard) - `2.1` (Flammable gases) - `8` (Corrosive substances) The value must comply with one of the values in the [DG IMO Class value table](https://github.com/dcsaorg/DCSA-OpenAPI/blob/master/domain/dcsa/reference-data/imocl,1.4S,,,4,,,,False,present,imoClass,datatype_property,Commodity,string
importLicenseReference,string,,"A certificate, issued by countries exercising import controls, that permits importation of the articles stated in the license. Reference number assigned by an issuing authority to an Import License. The import license number must be valid at time of arrival. Required if import license required is ‘True’.",ABC123123,,,35,,,^\S+(\s+\S+)*$,False,missing,,,,
importVoyageNumber,string,,The identifier of an import voyage. The vessel operator-specific identifier of the import Voyage.,2103N,,,50,,,^\S+(\s+\S+)*$,False,missing,,,,
incoTerms,string,,"Transport obligations, costs and risks as agreed between buyer and seller as defined by [ICC](https://iccwbo.org/business-solutions/incoterms-rules/). A list of possible values: - EXW (Ex-Works) - FCA (Free Carrier) - FAS (Free Alongside Ship) - FOB (Free On Board) - CFR (Cost and Freight) - CIF (Cost, Insurance and Freight) - CPT (Carriage Paid To) - CIP (Carriage And Insurance Paid To) - DAP (Delivered At Place) - DPU (Delivered At Place Unloaded) - DDP (Delivered Duty Paid)",FCA,,,3,,,,False,missing,,,,
inhalationZone,string,,The zone classification of the toxicity of the inhalant. Possible values are: - `A` (Hazard Zone A) can be asigned to specific gases and liquids - `B` (Hazard Zone B) can be asigned to specific gases and liquids - `C` (Hazard Zone C) can **only** be asigned to specific gases - `D` (Hazard Zone D) can **only** be asigned to specific gases,A,,1,1,,,,False,missing,,,,
isAMSACIFilingRequired,boolean,,Customs filing for US (AMS) or Canadian (ACI) customs,True,,,,,,,False,missing,,,,
isBulbMode,boolean,,Is special container setting for handling flower bulbs active,True,,,,,,,False,missing,,,,
isCargoProbe1Required,boolean,,Is `Cargo Probe 1 Required` enabled allowing the container to emit temperatures.,True,,,,,,,False,missing,,,,
isCargoProbe2Required,boolean,,Is `Cargo Probe 2 Required` enabled allowing the container to emit temperatures.,True,,,,,,,False,missing,,,,
isCargoProbe3Required,boolean,,Is `Cargo Probe 3 Required` enabled allowing the container to emit temperatures.,True,,,,,,,False,missing,,,,
isCargoProbe4Required,boolean,,Is `Cargo Probe 4 Required` enabled allowing the container to emit temperatures.,True,,,,,,,False,missing,,,,
isColdTreatmentRequired,boolean,,"Indicator whether cargo requires cold treatment prior to loading at origin or during transit, but prior arrival at POD",True,,,,,,,False,missing,,,,
isCompetentAuthorityApprovalProvided,boolean,,Indicates if the cargo require approval from authorities,False,,,,,,,False,missing,,,,
isContainerInspectionCertificateProvided,boolean,,Indicates if the container was inspected and the ensuing inspection certificate has been enclosed to the booking request.,False,,,,,,,False,missing,,,,
isControlledAtmosphereRequired,boolean,,Indicator of whether cargo requires Controlled Atmosphere.,True,,,,,,,False,missing,,,,
isCustomsFilingSubmissionByShipper,boolean,,Indicates whether the shipper will submit the destination customs filing directly. If `false` the shipper requests the carrier to submit the customs filing on their behalf. Mandatory if AMS/ACI filing is required,True,,,,,,,False,missing,,,,
isDrainholesOpen,boolean,,Is drainholes open on the container,True,,,,,,,False,missing,,,,
isElectronic,boolean,,An indicator whether the transport document is electronically transferred.,True,,,,,,,False,present,isElectronic,datatype_property,TransportDocument,boolean
isEmptyUncleanedResidue,boolean,,Indicates if the cargo is residue.,False,,,,,,,False,missing,,,,
isEquipmentSubstitutionAllowed,boolean,,Indicates if an alternate equipment type can be provided by the carrier.,True,,,,,,,False,missing,,,,
isExceptedQuantity,boolean,,Indicates if the dangerous goods can be transported as excepted quantity in accordance with Chapter 3.5 of the IMO IMDG Code.,False,,,,,,,False,missing,,,,
isExportDeclarationRequired,boolean,,Information provided by the shipper whether an export declaration is required for this particular shipment/commodity/destination.,True,,,,,,,False,missing,,,,
isGeneratorSetRequired,boolean,,Indicator whether reefer container should have a generator set attached at time of release from depot,True,,,,,,,False,missing,,,,
isHighValueCargo,boolean,,Cargo value exceeds USD XXX K (carrier specific),True,,,,,,,False,missing,,,,
isHot,boolean,,Indicates if high temperature cargo is shipped.,False,,,,,,,False,missing,,,,
isImportLicenseRequired,boolean,,Information provided by the shipper whether an import permit or license is required for this particular shipment/commodity/destination.,True,,,,,,,False,missing,,,,
isLimitedQuantity,boolean,,Indicates if the dangerous goods can be transported as limited quantity in accordance with Chapter 3.4 of the IMO IMDG Code.,False,,,,,,,False,present,isLimitedQuantity,datatype_property,Commodity,boolean
isMarinePollutant,boolean,,Indicates if the goods belong to the classification of Marine Pollutant.,False,,,,,,,False,present,isMarinePollutant,datatype_property,Commodity,boolean
isNonOperatingReefer,boolean,,If the equipment is a Reefer Container then setting this attribute will indicate that the container should be treated as a `DRY` container. **Condition:** Only applicable if `ISOEquipmentCode` shows a Reefer type.,False,,,,,,,False,missing,,,,
isPartialLoadAllowed,boolean,,Indication whether the shipper agrees to load part of the shipment in case where not all of the cargo is delivered within cut-off.,True,,,,,,,False,missing,,,,
isPreCoolingRequired,boolean,,Indicator whether reefer container should be pre-cooled to the temperature setting required at time of release from depot,True,,,,,,,False,missing,,,,
